"","Alapterület","Szobák száma"," Hitelre van szükséged? Kalkulálj! ","Ingatlan állapota","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Fűtés","Akadálymentesített","Fürdő és WC","Tájolás","Kilátás","Kertkapcsolatos","Tetőtér","Parkolás","Építés éve","Légkondicionáló","Rezsiköltség","Erkély","Parkolóhely ára","Panelprogram"," 118 000 € "," 80 880 € "," 69 540 € "," 144 330 € "," 80 370 € "," 97 150 € "," 73 880 € "," 76 000 € "," 178 250 € "," 69 180 € "," 71 470 € "," 195 690 € "," 193 860 € "," 220 090 € "," 229 000 € "," 144 900 € "," 363 430 € "," 103 640 € "," 250 000 € "," 208 000 € "," 141 440 € "," 77 480 € "," 81 330 € "," 222 290 € "," 83 050 € "
"1","33 m²"," 1 ","24,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","félemelet","4","nincs","3 m-nél alacsonyabb","gáz (cirko)","nem","egy helyiségben","nincs megadva","kertre néző","nem","nincs megadva","utca, közterület",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","50 m²"," 2 ","39 millió Ft","felújított","összkomfortos","nincs megadva","1","3","nincs","3 m-nél alacsonyabb","elektromos","nem","külön helyiségben","északnyugat","utcai","nincs megadva","nincs megadva","utca, közterület - ingyenes","1950-1980 között","nincs","8 000 Ft/hó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","101 m²"," 3 + 1 fél ","69 millió Ft","jó állapotú","duplakomfortos","nincs megadva","2","4","nincs","3 m-nél alacsonyabb","gáz (cirko)","nem","egy helyiségben","nincs megadva","udvari","igen","nem tetőtéri","teremgarázs hely - benne van az árban","1981-2000 között","nincs",NA,"6 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","80 m²"," 3 ","65,5 millió Ft","újszerű","összkomfortos","nincs megadva","1","3","nincs","3 m-nél alacsonyabb","gáz (cirko), megújuló energia","nem","külön helyiségben","délnyugat","kertre néző","nincs megadva","nem tetőtéri","teremgarázs hely - megvásárolható","2001-2010 között","van","29 000 Ft/hó","12 m²","4 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","50 m²"," 2 ","41,5 millió Ft","jó állapotú","összkomfortos","nincs megadva","földszint","5","nincs megadva","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","egy helyiségben","nincs megadva","kertre néző","nem","nincs megadva","udvari beálló - benne van az árban","2001-2010 között","nincs",NA,"7.41 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","48 m²"," 2 + 1 fél ","42 millió Ft","újszerű","összkomfortos","nincs megadva","2","6","van","3 m-nél alacsonyabb","házközponti egyedi méréssel, egyéb","igen","külön helyiségben","délnyugat","udvari","nem","nem tetőtéri","teremgarázs hely - megvásárolható","2001-2010 között","van","10 000 Ft/hó","4 m²","3 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","76 m²"," 3 + 1 fél ","41,9 millió Ft","jó állapotú","nincs megadva","nincs megadva","földszint","4","nincs megadva","3 m vagy magasabb","gáz (cirko)","nincs megadva","külön helyiségben","nincs megadva","kertre néző","nem","nem tetőtéri","utca, közterület","1950 előtt","nincs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","68 m²"," 3 ","57,9 millió Ft","felújított","duplakomfortos","nincs megadva","2","2","nincs","3 m-nél alacsonyabb","gáz (cirko)","nincs megadva","külön és egyben is","délkelet","utcai","nincs megadva","nem tetőtéri","utca, közterület - ingyenes","1950-1980 között","van",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","46 m²"," 1 + 1 fél ","27,99 millió Ft","felújított","összkomfortos","nincs megadva","földszint","10","van","nincs megadva","távfűtés egyedi méréssel","nincs megadva","egy helyiségben","nincs megadva","kertre néző","nincs megadva","nem tetőtéri","utca, közterület",NA,NA,NA,NA,NA,"részt vett",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","88 m²"," 3 + 1 fél ","74,9 millió Ft","újszerű","duplakomfortos","nincs megadva","3","3","nincs","3 m-nél alacsonyabb","gáz (cirko)","nem","egy helyiségben","délnyugat","nincs megadva","nem","legfelső emelet, nem tetőtéri","teremgarázs hely - benne van az árban","2001-2010 között","van","20 140 Ft/hó","13 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
